Date,DL_length,player_id,dt_date
20060522,60,dresr001,2006-05-22
20060522,15,day-z001,2006-05-22
20060522,15,stews002,2006-05-22
20060522,15,pennh001,2006-05-22
20060522,15,geruj001,2006-05-22
20060523,15,worrt002,2006-05-23
20060523,15,yound001,2006-05-23
20060524,15,hamec001,2006-05-24
20060524,15,dinal001,2006-05-24
20060526,60,priom001,2006-05-26
20060526,60,mitrs001,2006-05-26
20060526,15,rodrf002,2006-05-26
20060526,15,ardod001,2006-05-26
20060526,15,marom001,2006-05-26
20060526,60,sturt001,2006-05-26
20060527,15,mccab002,2006-05-27
20060527,15,fossc001,2006-05-27
20060527,15,guilj001,2006-05-27
20060527,60,day-z001,2006-05-27
20060528,60,iztuc001,2006-05-28
20060528,15,timlm001,2006-05-28
20060528,15,penaw001,2006-05-28
20060528,15,,2006-05-28
20060529,60,burna001,2006-05-29
20060529,15,mcdoj003,2006-05-29
20060529,15,liebj001,2006-05-29
20060530,15,,2006-05-30
20060530,60,bannb001,2006-05-30
20060530,15,nadyx001,2006-05-30
20060530,15,belim001,2006-05-30
20060531,60,eiscj001,2006-05-31
20060531,15,welld001,2006-05-31
20060601,15,ellim001,2006-06-01
20060601,15,kentj001,2006-06-01
20060601,15,shefg001,2006-06-01
20060602,60,bagwj001,2006-06-02
20060602,60,hellr001,2006-06-02
20060602,15,mathm001,2006-06-02
20060602,15,ramis001,2006-06-02
20060602,15,gibbj002,2006-06-02
20060603,15,rasnd001,2006-06-03
20060604,15,pujoa001,2006-06-04
20060604,15,wills002,2006-06-04
20060604,15,nelsj001,2006-06-04
20060605,15,doumr001,2006-06-05
20060606,60,backb001,2006-06-06
20060606,15,oswar001,2006-06-06
20060606,15,bigbl001,2006-06-06
20060606,15,cruzj005,2006-06-06
20060606,15,mulht001,2006-06-06
20060606,60,marom001,2006-06-06
20060607,15,polic001,2006-06-07
20060608,15,hardr001,2006-06-08
20060609,15,,2006-06-09
20060609,15,woodk002,2006-06-09
20060609,15,encae001,2006-06-09
20060609,15,guerm001,2006-06-09
20060610,15,chacg001,2006-06-10
20060610,15,walkp001,2006-06-10
20060610,15,liebm001,2006-06-10
20060613,15,thomj005,2006-06-13
20060613,15,gagne001,2006-06-13
20060613,15,niekl001,2006-06-13
20060613,15,willj004,2006-06-13
20060613,15,wasdj001,2006-06-13
20060613,15,foulk001,2006-06-13
20060613,15,clemm001,2006-06-13
20060613,60,sweem002,2006-06-13
20060614,15,reitc001,2006-06-14
20060614,60,miced001,2006-06-14
20060614,15,walkt003,2006-06-14
20060614,60,repkj001,2006-06-14
